Second by second output for a Job Scheduler. If a job is completed, the wait time and total execution time for the job are also printed.

Number of jobs: 8



Current second: 0    | Queue Idle


Current second: 1    | Queue Idle


Current second: 2    | Queue Idle


Current second: 3    | Queue Idle


Current second: 4    | Queue Idle


Current second: 109  | Core: 1  |Current job number: 8  |
Current second: 109  | Core: 2  |Current job number: 1  |


Current second: 110  | Core: 1  |Current job number: 8  |
Current second: 110  | Core: 2  |Current job number: 1  |


Current second: 111  | Core: 1  |Current job number: 8  |
Current second: 111  | Core: 2  |Current job number: 1  |


Completed job 8
Current second: 112  | Core: 1  |Current job number: 8  |
Current second: 112  | Core: 2  |Current job number: 1  |


Current second: 113  | Core: 1  |Current job number: 3  |
Current second: 113  | Core: 2  |Current job number: 1  |


Current second: 114  | Core: 1  |Current job number: 3  |
Current second: 114  | Core: 2  |Current job number: 1  |


Current second: 115  | Core: 1  |Current job number: 3  |
Current second: 115  | Core: 2  |Current job number: 1  |


Current second: 116  | Core: 1  |Current job number: 3  |
Current second: 116  | Core: 2  |Current job number: 1  |


Completed job 3
Current second: 117  | Core: 1  |Current job number: 3  |
Current second: 117  | Core: 2  |Current job number: 1  |


Current second: 118  | Core: 1  |Current job number: 5  |
Current second: 118  | Core: 2  |Current job number: 1  |


Current second: 119  | Core: 1  |Current job number: 5  |
Current second: 119  | Core: 2  |Current job number: 1  |


Current second: 120  | Core: 1  |Current job number: 5  |
Current second: 120  | Core: 2  |Current job number: 1  |


Current second: 121  | Core: 1  |Current job number: 5  |
Current second: 121  | Core: 2  |Current job number: 1  |


Current second: 122  | Core: 1  |Current job number: 5  |
Current second: 122  | Core: 2  |Current job number: 1  |


Current second: 123  | Core: 1  |Current job number: 5  |
Current second: 123  | Core: 2  |Current job number: 1  |


Current second: 124  | Core: 1  |Current job number: 5  |
Current second: 124  | Core: 2  |Current job number: 1  |


Current second: 125  | Core: 1  |Current job number: 5  |
Current second: 125  | Core: 2  |Current job number: 1  |


Current second: 126  | Core: 1  |Current job number: 5  |
Current second: 126  | Core: 2  |Current job number: 1  |


Current second: 127  | Core: 1  |Current job number: 5  |
Current second: 127  | Core: 2  |Current job number: 1  |


Current second: 128  | Core: 1  |Current job number: 5  |
Current second: 128  | Core: 2  |Current job number: 1  |


Current second: 129  | Core: 1  |Current job number: 5  |
Current second: 129  | Core: 2  |Current job number: 1  |


Current second: 130  | Core: 1  |Current job number: 5  |
Current second: 130  | Core: 2  |Current job number: 1  |


Current second: 131  | Core: 1  |Current job number: 5  |
Current second: 131  | Core: 2  |Current job number: 1  |


Current second: 132  | Core: 1  |Current job number: 5  |
Current second: 132  | Core: 2  |Current job number: 1  |


Current second: 133  | Core: 1  |Current job number: 5  |
Current second: 133  | Core: 2  |Current job number: 1  |


Current second: 134  | Core: 1  |Current job number: 5  |
Current second: 134  | Core: 2  |Current job number: 1  |


Current second: 135  | Core: 1  |Current job number: 5  |
Current second: 135  | Core: 2  |Current job number: 1  |


Current second: 136  | Core: 1  |Current job number: 5  |
Current second: 136  | Core: 2  |Current job number: 1  |


Current second: 137  | Core: 1  |Current job number: 5  |
Current second: 137  | Core: 2  |Current job number: 1  |


Current second: 138  | Core: 1  |Current job number: 5  |
Current second: 138  | Core: 2  |Current job number: 1  |


Current second: 139  | Core: 1  |Current job number: 5  |
Current second: 139  | Core: 2  |Current job number: 1  |


Current second: 140  | Core: 1  |Current job number: 5  |
Current second: 140  | Core: 2  |Current job number: 1  |


Current second: 141  | Core: 1  |Current job number: 5  |
Current second: 141  | Core: 2  |Current job number: 1  |


Current second: 142  | Core: 1  |Current job number: 5  |
Current second: 142  | Core: 2  |Current job number: 1  |


Current second: 143  | Core: 1  |Current job number: 5  |
Current second: 143  | Core: 2  |Current job number: 1  |


Current second: 144  | Core: 1  |Current job number: 5  |
Current second: 144  | Core: 2  |Current job number: 1  |


Current second: 145  | Core: 1  |Current job number: 5  |
Current second: 145  | Core: 2  |Current job number: 1  |


Current second: 146  | Core: 1  |Current job number: 5  |
Current second: 146  | Core: 2  |Current job number: 1  |


Current second: 147  | Core: 1  |Current job number: 5  |
Current second: 147  | Core: 2  |Current job number: 1  |


Current second: 148  | Core: 1  |Current job number: 5  |
Current second: 148  | Core: 2  |Current job number: 1  |


Current second: 149  | Core: 1  |Current job number: 5  |
Current second: 149  | Core: 2  |Current job number: 1  |


Current second: 150  | Core: 1  |Current job number: 5  |
Current second: 150  | Core: 2  |Current job number: 1  |


Current second: 151  | Core: 1  |Current job number: 5  |
Current second: 151  | Core: 2  |Current job number: 1  |


Current second: 152  | Core: 1  |Current job number: 5  |
Current second: 152  | Core: 2  |Current job number: 1  |


Current second: 153  | Core: 1  |Current job number: 5  |
Current second: 153  | Core: 2  |Current job number: 1  |


Current second: 154  | Core: 1  |Current job number: 5  |
Current second: 154  | Core: 2  |Current job number: 1  |


Current second: 155  | Core: 1  |Current job number: 5  |
Current second: 155  | Core: 2  |Current job number: 1  |


Current second: 156  | Core: 1  |Current job number: 5  |
Current second: 156  | Core: 2  |Current job number: 1  |


Current second: 157  | Core: 1  |Current job number: 5  |
Completed job 1
Current second: 157  | Core: 2  |Current job number: 1  |


Current second: 158  | Core: 1  |Current job number: 5  |
Current second: 158  | Core: 2  |Current job number: 4  |


Current second: 159  | Core: 1  |Current job number: 5  |
Current second: 159  | Core: 2  |Current job number: 4  |


Current second: 160  | Core: 1  |Current job number: 5  |
Current second: 160  | Core: 2  |Current job number: 4  |


Current second: 161  | Core: 1  |Current job number: 5  |
Current second: 161  | Core: 2  |Current job number: 4  |


Current second: 162  | Core: 1  |Current job number: 5  |
Current second: 162  | Core: 2  |Current job number: 4  |


Current second: 163  | Core: 1  |Current job number: 5  |
Current second: 163  | Core: 2  |Current job number: 4  |


Current second: 164  | Core: 1  |Current job number: 5  |
Current second: 164  | Core: 2  |Current job number: 4  |


Current second: 165  | Core: 1  |Current job number: 5  |
Current second: 165  | Core: 2  |Current job number: 4  |


Current second: 166  | Core: 1  |Current job number: 5  |
Current second: 166  | Core: 2  |Current job number: 4  |


Completed job 5
Current second: 167  | Core: 1  |Current job number: 5  |
Current second: 167  | Core: 2  |Current job number: 4  |


Current second: 168  |Core: 1  |Core Idle
Completed job 4
Current second: 168  | Core: 2  |Current job number: 4  |

Statistics:
Job number: 2  | Wait time: 0    | Execution time: 15   |
Job number: 6  | Wait time: 0    | Execution time: 4    |
Job number: 7  | Wait time: 0    | Execution time: 37   |
Job number: 8  | Wait time: 0    | Execution time: 108  |
Job number: 3  | Wait time: 0    | Execution time: 111  |
Job number: 1  | Wait time: 48   | Execution time: 100  |
Job number: 5  | Wait time: 98   | Execution time: 50   |
Job number: 4  | Wait time: 149  | Execution time: 11   |

Average wait time: 36.9
Average execution time: 54.5
